DATA_VENCIMENTO;CONCATENATION;SIGLA;VALOR;VALOR_PAGO
10.03.2021 00:00;DRIANO  EMPRESA - SA;TX - INST. REN.;1.573,780;1.573,780
10.03.2021 00:00;LDAIR R EMPRESA - SA;TX - INST. REN.;151,480;
10.03.2021 00:00;RNALDO  EMPRESA - SA;TX - INST. REN.;980,380;980,380
20.01.2021 00:00;ELIA RE EMPRESA - SA;ISS PROPRIO;34,000;34,000
10.03.2021 00:00;ELIA RE EMPRESA - SA;TX - INST. REN.;729,870;729,870
20.02.2021 00:00;ELIA RE EMPRESA - SA;ISS PROPRIO;1.703,530;1.703,530
20.03.2021 00:00;ELIA RE EMPRESA - SA;ISS PROPRIO;2.229,580;2.229,580
10.04.2021 00:00;ELIA RE EMPRESA - SA;TAXA ALVARÁ SANITÁRI;264,310;264,310
20.04.2021 00:00;ELIA RE EMPRESA - SA;ISS PROPRIO;2.567,930;2.567,930
20.05.2021 00:00;ELIA RE EMPRESA - SA;ISS PROPRIO;201,850;201,850
20.06.2021 00:00;ELIA RE EMPRESA - SA;ISS PROPRIO;298,600;298,600
20.07.2021 00:00;ELIA RE EMPRESA - SA;ISS PROPRIO;110,500;110,500
20.08.2021 00:00;ELIA RE EMPRESA - SA;ISS PROPRIO;4.387,600;4.387,600
10.03.2021 00:00;ELSO AL EMPRESA - SA;TX - INST. REN.;633,870;633,870
10.03.2021 00:00;OTEL PA EMPRESA - SA;TX - INST. REN.;1.315,510;1.315,510
14.07.2021 00:00;OTEL PA EMPRESA - SA;PARCTO;1.340,990;1.340,990
10.03.2021 00:00;ZAIAS M EMPRESA - SA;TX - INST. REN.;233,010;
10.03.2021 00:00;OAO MAR EMPRESA - SA;TX. INST.REN. FIXO;1.566,490;1.566,490
20.09.2021 00:00;OAO MAR EMPRESA - SA;ISS - RETIDO;3.943,160;
10.03.2021 00:00;OSE CAN EMPRESA - SA;TX - INST. REN.;483,750;
09.01.2021 00:00;ARTORIO EMPRESA - SA;PARCTO;6.964,670;6.964,670
23.01.2021 00:00;ARTORIO EMPRESA - SA;PARCTO;27.949,910;27.949,910
23.02.2021 00:00;ARTORIO EMPRESA - SA;PARCTO;27.949,910;27.949,910
10.03.2021 00:00;ARTORIO EMPRESA - SA;TX - INST. REN.;857,220;857,220
20.01.2021 00:00;ARTORIO EMPRESA - SA;ISS PROPRIO;6.475,340;6.475,340
22.02.2021 00:00;ARTORIO EMPRESA - SA;ISS PROPRIO;5.751,900;5.751,900
20.04.2021 00:00;ARTORIO EMPRESA - SA;ISS PROPRIO;7.122,150;7.122,150
20.03.2021 00:00;ARTORIO EMPRESA - SA;ISS PROPRIO;6.326,940;6.326,940
20.05.2021 00:00;ARTORIO EMPRESA - SA;ISSQN;7.279,180;7.279,180
21.06.2021 00:00;ARTORIO EMPRESA - SA;ISS PROPRIO;9.841,180;9.841,180
20.07.2021 00:00;ARTORIO EMPRESA - SA;ISS PROPRIO;8.768,890;8.768,890
20.08.2021 00:00;ARTORIO EMPRESA - SA;ISS PROPRIO;9.531,080;9.531,080
10.03.2021 00:00;UCIMAR  EMPRESA - SA;TX - INST. REN.;159,850;
10.03.2021 00:00;UCINDA  EMPRESA - SA;TX - INST. REN.;386,260;386,260
10.03.2021 00:00;ARFISA  EMPRESA - SA;TX - INST. REN.;562,480;
10.03.2021 00:00;ARIA CL EMPRESA - SA;TX - INST. REN.;471,190;
10.03.2021 00:00;ARIA JO EMPRESA - SA;TX - INST. REN.;464,730;464,730
28.01.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.02.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.03.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.04.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.05.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.06.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.07.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.08.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.09.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.10.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.11.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
28.12.2021 00:00;ATALICI EMPRESA - SA;PARCTO;1.183,650;
10.03.2021 00:00;ATALICI EMPRESA - SA;TX - INST. REN.;987,750;987,750
26.06.2021 00:00;ATALICI EMPRESA - SA;TAXA ALVARÁ SANITÁRI;264,310;264,310
10.03.2021 00:00;AULO CE EMPRESA - SA;TX - INST. REN.;465,980;465,980
12.09.2021 00:00;AULO CE EMPRESA - SA;TAXA ALVARÁ SANITÁRI;150,600;150,600
10.03.2021 00:00;AMAO ED EMPRESA - SA;TX - INST. REN.;589,600;
20.04.2021 00:00;AMAO ED EMPRESA - SA;ISS PROPRIO;275,950;
20.05.2021 00:00;AMAO ED EMPRESA - SA;ISS PROPRIO;127,400;
20.06.2021 00:00;AMAO ED EMPRESA - SA;ISS PROPRIO;177,200;
20.07.2021 00:00;AMAO ED EMPRESA - SA;ISS PROPRIO;118,200;118,200
20.08.2021 00:00;AMAO ED EMPRESA - SA;ISS PROPRIO;186,800;
20.09.2021 00:00;AMAO ED EMPRESA - SA;ISS PROPRIO;828,750;
10.03.2021 00:00;EGINA A EMPRESA - SA;TX - INST. REN.;358,650;358,650
10.03.2021 00:00;ERGIO F EMPRESA - SA;TX - INST. REN.;263,610;
10.03.2021 00:00;ANDERLE EMPRESA - SA;TX - INST. REN.;598,430;598,430
06.04.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,550;104,550
06.05.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,540;104,540
06.06.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,560;104,560
06.07.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,560;104,560
06.08.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,560;104,560
06.09.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,560;
06.10.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,560;
06.11.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,560;
06.12.2021 00:00;ANDERLE EMPRESA - SA;PARCTO;104,560;
10.03.2021 00:00;DAIR PE EMPRESA - SA;TX. INST.REN. FIXO;1.566,490;
10.03.2021 00:00;LCIDES  EMPRESA - SA;TX - INST. REN.;521,790;521,790
10.03.2021 00:00;NANIAS  EMPRESA - SA;TX - INST. REN.;289,900;289,900
25.06.2021 00:00;NANIAS  EMPRESA - SA;TAXA ALVARÁ SANITÁRI;110,130;110,130
20.01.2021 00:00;UTO POS EMPRESA - SA;ISS PROPRIO;362,790;362,790
10.03.2021 00:00;UTO POS EMPRESA - SA;TX - INST. REN.;13.010,480;13.010,480
20.02.2021 00:00;UTO POS EMPRESA - SA;ISS PROPRIO;380,740;380,740
